Skill,Average_Monthly_USD,Demand_Level,Supply_Level,Learning Path (Free)
Content writing & blogging,4033,Medium,High,freeCodeCamp (writing guides); YouTube: Neil Patel / HubSpot
"Copywriting (ads, sales pages, landing pages)",5600,Medium,High,Copyhackers blog; YouTube: Neville Medhora
Technical writing,4667,Medium,High,Google Technical Writing course (Coursera audit); Write the Docs
"Creative writing (stories, scripts, eBooks)",3367,Medium,High,Reedsy YouTube tutorials; Brandon Sanderson lectures (YouTube)
Grant writing & proposals,4133,Medium,High,Candid (Foundation Center) guides; YouTube grant writing tutorials
Proofreading & editing,2258,Medium,Medium,Purdue OWL; Coursera grammar courses (audit)
Ghostwriting,6500,Medium,High,Reedsy blog; YouTube self-publishing guides
Resume/CV writing & LinkedIn profile optimization,1883,Medium,High,LinkedIn articles; YouTube: Jeff Su
Academic writing / research papers,3733,Medium,High,Coursera 'Writing in the Sciences' (audit); OWL Purdue
Translation & transcription,2383,Medium,High,YouTube translators channels; Otter.ai free plan for practice
"Scriptwriting (YouTube, podcasts, ads)",3933,Medium,High,Screencraft guides; YouTube: Film Riot
Search Engine Optimization (SEO),5500,High,Medium,Moz Beginner's Guide; YouTube: Ahrefs channel
"Search Engine Marketing (Google Ads, Bing Ads)",6267,Medium,Medium,Google Skillshop (Google Ads training)
Social Media Marketing,4567,Medium,High,Meta Blueprint; HubSpot Academy
"Social Media Content Creation (posts, reels, carousels)",3658,Medium,High,Later.com YouTube; Hootsuite blog
"Paid Ads Management (Facebook, TikTok, LinkedIn Ads)",6267,High,Medium,Meta Blueprint; TikTok Ads Learning Center
"Email marketing (Mailchimp, ConvertKit, etc.)",4608,High,Medium,HubSpot Academy Email Marketing; Mailchimp guides
Influencer marketing strategy,5500,Medium,Medium,HubSpot articles; YouTube influencer marketing talks
Affiliate marketing,5783,Medium,Medium,Pat Flynn (Smart Passive Income) blog; Authority Hacker articles
"Funnel building (ClickFunnels, Leadpages, etc.)",6267,High,Medium,ClickFunnels YouTube; Russell Brunson tutorials
"Marketing automation (HubSpot, Marketo, Zapier)",5550,Medium,Medium,HubSpot Academy; Zapier Learning Center
Growth hacking,7567,Medium,Medium,Brian Balfour blog; Growth Tribe YouTube clips
Brand strategy & storytelling,7533,Medium,Medium,Coursera Brand Management (audit); Simon Sinek videos
Community management,2625,Medium,Medium,CMX Hub resources; Community Signal podcast clips
"Graphic design (Photoshop, Illustrator, CorelDraw)",3667,Medium,Medium,The Futur YouTube; Adobe tutorials
